Post_ID,Post_Date,Day,Hour,Platform,Content_Type,Content_Category,Followers,Reach,Impressions,Likes,Comments,Shares,Saves,Video_Views,Engagement_Rate,Month,Month_Number,Time_Slot
POST-0001,11-12-2025,Thursday,21,LinkedIn,Carousel,Tutorial,5035,2480,2862,137,22,16,13,0,7.58,December,12,Night
POST-0002,17-08-2025,Sunday,13,Facebook,Carousel,Entertainment,5073,1665,2852,28,3,2,0,0,1.98,August,8,Afternoon
POST-0003,07-09-2025,Sunday,12,Instagram,Carousel,Entertainment,5088,3402,4690,174,24,18,18,0,6.88,September,9,Afternoon
POST-0004,24-11-2025,Monday,12,Instagram,Image,Behind the Scenes,5120,2089,2676,101,4,10,12,0,6.08,November,11,Afternoon
POST-0005,31-07-2025,Thursday,15,Instagram,Image,Education,5156,4792,8501,131,22,5,3,0,3.36,July,7,Afternoon
POST-0006,11-10-2025,Saturday,19,Instagram,Video,Behind the Scenes,5187,5288,7076,570,65,47,66,4709,14.15,October,10,Evening
POST-0007,01-11-2025,Saturday,21,Instagram,Image,Product,5234,1263,1524,51,5,2,5,0,4.99,November,11,Night
POST-0008,24-03-2025,Monday,20,YouTube,Video,Announcement,5277,2042,2649,68,7,2,5,736,4.02,March,3,Night
POST-0009,21-01-2025,Tuesday,17,LinkedIn,Text,Product,5295,2263,3911,56,3,5,6,0,3.09,January,1,Evening
POST-0010,20-04-2025,Sunday,21,Instagram,Text,Announcement,5324,1408,2517,25,2,1,0,0,1.99,April,4,Night
POST-0011,15-04-2025,Tuesday,8,LinkedIn,Image,Education,5342,1458,2028,115,5,9,4,0,9.12,April,4,Morning
POST-0012,15-11-2025,Saturday,10,Facebook,Carousel,Entertainment,5377,2832,4022,170,28,7,23,0,8.05,November,11,Morning
POST-0013,30-11-2025,Sunday,12,LinkedIn,Image,Product,5395,2405,3604,143,15,16,18,0,7.98,November,11,Afternoon
POST-0014,02-01-2025,Thursday,10,YouTube,Image,Announcement,5434,1087,1825,60,2,4,2,0,6.26,January,1,Morning
POST-0015,02-07-2025,Wednesday,18,Instagram,Image,Announcement,5466,2006,2119,209,36,17,16,0,13.86,July,7,Evening
POST-0016,27-10-2025,Monday,14,Facebook,Text,Product,5506,3588,5908,169,19,16,9,0,5.94,October,10,Afternoon
POST-0017,17-02-2025,Monday,11,Instagram,Image,Announcement,5532,1389,2471,82,10,8,2,0,7.34,February,2,Morning
POST-0018,18-10-2025,Saturday,22,Instagram,Carousel,Behind the Scenes,5543,1622,2196,128,18,4,14,0,10.11,October,10,Night
POST-0019,13-02-2025,Thursday,11,Facebook,Text,Announcement,5592,6458,8901,606,81,28,63,0,12.05,February,2,Morning
POST-0020,20-06-2025,Friday,17,Facebook,Image,Announcement,5618,5566,9842,489,47,57,9,0,10.82,June,6,Evening
POST-0021,26-10-2025,Sunday,16,Instagram,Short,Behind the Scenes,5662,1105,1497,124,8,10,10,509,13.76,October,10,Evening
POST-0022,21-04-2025,Monday,17,Instagram,Video,Tutorial,5696,1283,1709,49,1,5,0,806,4.29,April,4,Evening
POST-0023,05-05-2025,Monday,20,LinkedIn,Short,Product,5732,3319,5623,372,46,18,7,1512,13.35,May,5,Night
POST-0024,12-04-2025,Saturday,12,Instagram,Short,Tutorial,5782,1400,1966,149,6,17,8,994,12.86,April,4,Afternoon
POST-0025,20-09-2025,Saturday,14,Facebook,Short,Behind the Scenes,5814,2347,3603,118,9,7,1,793,5.75,September,9,Afternoon
POST-0026,04-04-2025,Friday,22,Instagram,Text,Education,5859,2104,2661,189,30,18,14,0,11.93,April,4,Night
POST-0027,28-12-2025,Sunday,15,Facebook,Short,Product,5869,3670,5725,415,68,46,37,2593,15.42,December,12,Afternoon
POST-0028,12-06-2025,Thursday,10,Instagram,Text,Tutorial,5907,671,889,56,7,3,2,0,10.13,June,6,Morning
POST-0029,24-06-2025,Tuesday,8,YouTube,Video,Behind the Scenes,5932,803,1315,80,3,3,6,621,11.46,June,6,Morning
POST-0030,04-07-2025,Friday,16,Instagram,Image,Entertainment,5959,1374,1950,127,21,8,2,0,11.5,July,7,Evening
POST-0031,01-08-2025,Friday,10,YouTube,Video,Entertainment,5987,4710,8193,548,27,16,9,2629,12.74,August,8,Morning
POST-0032,22-07-2025,Tuesday,18,Facebook,Video,Product,6019,2477,3617,237,38,5,16,1550,11.95,July,7,Evening
POST-0033,05-07-2025,Saturday,15,Instagram,Image,Behind the Scenes,6067,1054,1784,23,3,2,0,0,2.66,July,7,Afternoon
POST-0034,30-12-2025,Tuesday,20,Instagram,Short,Product,6073,3537,4882,144,25,11,13,1468,5.46,December,12,Night
POST-0035,22-10-2025,Wednesday,8,Facebook,Short,Education,6101,3980,6176,118,20,2,13,3234,3.84,October,10,Morning
POST-0036,17-10-2025,Friday,20,YouTube,Video,Announcement,6120,2356,2945,166,16,13,1,880,8.32,October,10,Night
